name,OEM,Model,Variant,year,km_driven,fuel,seller_type,transmission,owner,Rating,ExShowroom Price,selling_price,RTO Number
Mahindra Quanto C8,Mahindra,Quanto,C8,2012,80000,Diesel,Individual,Manual,First Owner,15.0,390125,290000,MH55TX6222
Fiat Palio 1.2 Sport,Fiat,Palio,1.2 Sport,2007,50000,Petrol,Individual,Manual,Second Owner,10.0,390524,125000,MH16DC3319
Skoda Fabia 1.2L Diesel Ambiente,Skoda,Fabia,1.2L Diesel Ambiente,2010,87000,Diesel,Dealer,Manual,Second Owner,14.0,390630,180000,MH82VF2203
Chevrolet Sail 1.2 Base,Chevrolet,Sail,1.2 Base,2015,35000,Petrol,Individual,Manual,First Owner,15.0,390745,260000,MH39LS8540
Mahindra Quanto C6,Mahindra,Quanto,C6,2013,120000,Diesel,Individual,Manual,Second Owner,12.39,390932,285000,MH51YM8078
Chevrolet Spark 1.0 LS,Chevrolet,Spark,1.0 LS,2014,70000,Petrol,Individual,Manual,First Owner,12.0,390954,220000,MH79MY9277
Maruti Omni E MPI STD BS IV,Maruti,Omni,E MPI STD BS IV,2016,5800,Petrol,Individual,Manual,Second Owner,10.0,391038,240000,MH50HJ1501
Maruti Zen VXI,Maruti,Zen,VXI,2006,77000,Petrol,Individual,Manual,Second Owner,9.06,391066,120000,MH35OA9152
Hyundai i20 Asta 1.2,Hyundai,i20,Asta 1.2,2012,80000,Petrol,Individual,Manual,First Owner,14.54,391210,300000,MH22PV3859
Ambassador CLASSIC 1500 DSL AC,Ambassador,CLASSIC,1500 DSL AC,2005,50000,Diesel,Individual,Manual,Second Owner,9.58,391362,120000,MH61VD5057
Fiat Linea Active (Diesel),Fiat,Linea,Active (Diesel),2011,80000,Diesel,Individual,Manual,Third Owner,12.0,391395,190000,MH35VB6897
Ford Figo Diesel Titanium,Ford,Figo,Diesel Titanium,2012,180000,Diesel,Individual,Manual,First Owner,14.24,391399,175000,MH87KU8491
Tata Indigo LX Dicor,Tata,Indigo,LX Dicor,2009,50000,Diesel,Individual,Manual,First Owner,9.97,391845,130000,MH29CS4440
Maruti Alto 800 LXI,Maruti,Alto,800 LXI,2019,10000,Petrol,Individual,Manual,First Owner,9.32,392320,295000,MH40EO6301
Tata Manza Aura Safire BS IV,Tata,Manza,Aura Safire BS IV,2013,60000,Petrol,Individual,Manual,First Owner,11.71,392452,200000,MH58UL1356
Maruti Wagon R LX Minor,Maruti,Wagon,R LX Minor,2013,52000,Petrol,Individual,Manual,First Owner,14.0,392483,290000,MH11ET6975
Hyundai EON Era Plus,Hyundai,EON,Era Plus,2014,50000,Petrol,Individual,Manual,First Owner,15.0,392771,190000,MH40VQ4198
Maruti Wagon R LXI BS IV,Maruti,Wagon,R LXI BS IV,2013,80000,Petrol,Individual,Manual,Second Owner,11.16,392952,320000,MH80UB8711
Maruti Swift 1.2 DLX,Maruti,Swift,1.2 DLX,2015,40000,Petrol,Individual,Manual,First Owner,14.0,393149,220000,MH56CZ7257
Maruti Alto K10 2010-2014 VXI,Maruti,Alto,K10 2010-2014 VXI,2014,50000,Petrol,Individual,Manual,First Owner,14.0,393913,240000,MH65QL8114
Chevrolet Cruze LT,Chevrolet,Cruze,LT,2011,74000,Diesel,Individual,Manual,Second Owner,9.94,394000,350000,MH99LV2356
Tata Xenon XT EX 4X2,Tata,Xenon,XT EX 4X2,2014,90000,Diesel,Individual,Manual,First Owner,11.0,394040,291000,MH37QH5269
Tata Indica Vista Quadrajet 90 VX,Tata,Indica,Vista Quadrajet 90 VX,2012,74300,Diesel,Dealer,Manual,First Owner,12.05,394361,285000,MH27OD8338
Hyundai EON Era Plus,Hyundai,EON,Era Plus,2015,70000,Petrol,Individual,Manual,First Owner,9.0,394384,200000,MH73TH7476
Renault KWID RXL,Renault,KWID,RXL,2020,20000,Petrol,Individual,Manual,First Owner,13.68,394779,300000,MH57ZS4873
Toyota Etios Liva GD,Toyota,Etios,Liva GD,2012,50000,Diesel,Individual,Manual,Second Owner,14.84,395116,300000,MH51BF9065
Hyundai i10 Magna,Hyundai,i10,Magna,2012,49824,Petrol,Dealer,Manual,First Owner,15.0,395372,229999,MH56TN7387
Skoda Laura Ambiente 2.0 TDI CR MT,Skoda,Laura,Ambiente 2.0 TDI CR MT,2012,52000,Diesel,Dealer,Manual,First Owner,10.73,395386,385000,MH76FG8527
Hyundai Getz 1.5 CRDi GVS,Hyundai,Getz,1.5 CRDi GVS,2008,154000,Diesel,Individual,Manual,Third Owner,9.0,395474,110000,MH23MB1581
Hyundai Accent Executive CNG,Hyundai,Accent,Executive CNG,2012,67000,CNG,Dealer,Manual,Second Owner,15.0,395494,185000,MH31XF3586
Hyundai Verna CRDi SX,Hyundai,Verna,CRDi SX,2010,120000,Diesel,Individual,Manual,Second Owner,10.0,395609,280000,MH74YF8736
Maruti Zen Estilo Sports,Maruti,Zen,Estilo Sports,2008,120000,Petrol,Individual,Manual,First Owner,9.0,395973,140000,MH82XR6184
Maruti Alto K10 VXI,Maruti,Alto,K10 VXI,2016,25000,Petrol,Individual,Manual,First Owner,14.0,396218,270000,MH26CS5642
Maruti Wagon R LXI DUO BS IV,Maruti,Wagon,R LXI DUO BS IV,2012,60000,LPG,Individual,Manual,First Owner,14.0,396812,180000,MH39WK7822
Maruti Alto 800 LXI,Maruti,Alto,800 LXI,2012,90000,Petrol,Individual,Manual,Third Owner,13.0,396908,200000,MH88UJ4535
Renault KWID Climber 1.0 AMT BSIV,Renault,KWID,Climber 1.0 AMT BSIV,2017,7658,Petrol,Dealer,Automatic,First Owner,10.0,397390,350000,MH87YJ7261
Hyundai i20 Magna Optional 1.2,Hyundai,i20,Magna Optional 1.2,2013,35000,Petrol,Individual,Manual,First Owner,11.07,397539,340000,MH14OB7996
Chevrolet Beat Diesel LT,Chevrolet,Beat,Diesel LT,2012,50000,Diesel,Individual,Manual,First Owner,14.69,397625,200000,MH95GI3746
Volkswagen Vento 1.0 TSI Highline Plus,Volkswagen,Vento,1.0 TSI Highline Plus,2011,53000,Petrol,Dealer,Manual,Second Owner,12.0,397727,305000,MH65ZK2896
Datsun GO Plus A,Datsun,GO,Plus A,2015,45000,Petrol,Individual,Manual,Second Owner,14.27,397814,315000,MH90VX4838
Maruti A-Star Vxi,Maruti,A-Star,Vxi,2010,40000,Petrol,Individual,Manual,First Owner,13.17,398147,180000,MH76QP6679
Hyundai i20 1.2 Sportz,Hyundai,i20,1.2 Sportz,2012,110000,Petrol,Individual,Manual,Third Owner,10.16,398575,280000,MH61CT5730
Maruti Swift LXI,Maruti,Swift,LXI,2011,70000,Petrol,Individual,Manual,First Owner,11.19,398639,175000,MH45VZ9141
Hyundai Verna Transform SX VTVT,Hyundai,Verna,Transform SX VTVT,2011,55168,Petrol,Individual,Manual,Second Owner,10.78,398644,370000,MH94NQ3129
Volkswagen Jetta 1.9 Highline TDI,Volkswagen,Jetta,1.9 Highline TDI,2010,87620,Diesel,Dealer,Automatic,First Owner,9.0,398952,290000,MH78HI7831
Maruti Swift Dzire VDI,Maruti,Swift,Dzire VDI,2014,30000,Diesel,Individual,Manual,First Owner,12.0,399044,254999,MH56TI1709
Chevrolet Spark 1.0 LS,Chevrolet,Spark,1.0 LS,2010,45000,Petrol,Individual,Manual,Second Owner,12.0,399110,175000,MH52ZN4276
Datsun GO Plus T,Datsun,GO,Plus T,2017,10171,Petrol,Dealer,Manual,First Owner,10.0,399498,350000,MH90NL1648
Toyota Etios GD SP,Toyota,Etios,GD SP,2011,110000,Diesel,Individual,Manual,Third Owner,11.35,399637,220000,MH58RP8605
Hyundai i20 Magna,Hyundai,i20,Magna,2010,55000,Petrol,Individual,Manual,First Owner,14.0,399752,250000,MH96SP3409
Chevrolet Sail Hatchback LT ABS,Chevrolet,Sail,Hatchback LT ABS,2013,80000,Diesel,Individual,Manual,First Owner,12.0,400624,225000,MH18US7316
Hyundai EON Magna,Hyundai,EON,Magna,2012,53122,Petrol,Dealer,Manual,Second Owner,14.0,400710,225000,MH95YV9974
Maruti SX4 Vxi BSIII,Maruti,SX4,Vxi BSIII,2007,90000,Petrol,Individual,Manual,Second Owner,11.0,401022,120000,MH56SJ7171
Maruti Wagon R LXI BS IV,Maruti,Wagon,R LXI BS IV,2013,80000,Petrol,Individual,Manual,First Owner,15.0,401086,213000,MH71ER3378
Mahindra Xylo E4,Mahindra,Xylo,E4,2011,100000,Diesel,Individual,Manual,Second Owner,11.88,401431,330000,MH31UX9522
Maruti Celerio VXI,Maruti,Celerio,VXI,2015,45000,Petrol,Individual,Manual,First Owner,15.0,401535,220000,MH64EG4440
Hyundai i20 Asta,Hyundai,i20,Asta,2010,110000,Petrol,Individual,Manual,Second Owner,11.05,401780,270000,MH20AB9111
Tata Manza Aura (ABS) Quadrajet BS IV,Tata,Manza,Aura (ABS) Quadrajet BS IV,2012,80000,Diesel,Individual,Manual,Second Owner,9.0,401932,295000,MH96XG7866
Hyundai i10 Magna 1.1,Hyundai,i10,Magna 1.1,2008,60000,Petrol,Individual,Manual,Second Owner,9.0,402075,100000,MH28MW3428
Volkswagen Polo Diesel Trendline 1.2L,Volkswagen,Polo,Diesel Trendline 1.2L,2012,55000,Diesel,Individual,Manual,Second Owner,10.0,402119,265000,MH45VH2615
Maruti Swift VXI Optional,Maruti,Swift,VXI Optional,2015,40000,Petrol,Individual,Manual,First Owner,10.0,402289,400000,MH47PW5157
Ford Figo Diesel Celebration Edition,Ford,Figo,Diesel Celebration Edition,2013,120000,Diesel,Individual,Manual,First Owner,11.78,402459,190000,MH88GG3844
Hyundai Xcent 1.2 CRDi E,Hyundai,Xcent,1.2 CRDi E,2017,80000,Diesel,Individual,Manual,First Owner,13.71,402476,350000,MH47CU3105
Datsun GO T Petrol,Datsun,GO,T Petrol,2015,32686,Petrol,Dealer,Manual,First Owner,14.0,402504,310000,MH56HO7815
Tata Sumo Victa CX 7/9 Str BSII,Tata,Sumo,Victa CX 7/9 Str BSII,2012,120000,Diesel,Individual,Manual,Second Owner,13.46,402907,320000,MH44QI9156
Tata Indica Vista Aqua 1.3 Quadrajet ABS BSIV,Tata,Indica,Vista Aqua 1.3 Quadrajet ABS BSIV,2012,70000,Diesel,Individual,Manual,Second Owner,12.0,402972,198000,MH38MA5133
Tata Bolt Quadrajet XE,Tata,Bolt,Quadrajet XE,2017,60000,Diesel,Individual,Manual,First Owner,14.96,403085,340000,MH34YA3664
Maruti 800 AC,Maruti,800,AC,2006,54000,Petrol,Individual,Manual,First Owner,10.85,403999,100000,MH99MQ7830
Toyota Etios GD SP,Toyota,Etios,GD SP,2013,75000,Diesel,Dealer,Manual,First Owner,12.42,404580,350000,MH58KF5982
Maruti Swift Dzire VDI,Maruti,Swift,Dzire VDI,2014,120000,Diesel,Individual,Manual,First Owner,9.0,404706,300000,MH39PD6781
Hyundai Xcent 1.2 Kappa S,Hyundai,Xcent,1.2 Kappa S,2015,55000,Petrol,Individual,Manual,First Owner,11.0,405177,375000,MH26AW1368
Mahindra Bolero Power Plus Plus AC BSIV PS,Mahindra,Bolero,Power Plus Plus AC BSIV PS,2015,50000,Diesel,Individual,Manual,Third Owner,9.29,405202,320000,MH64YQ5090
Maruti Alto K10 VXI AGS,Maruti,Alto,K10 VXI AGS,2017,27289,Petrol,Dealer,Automatic,First Owner,9.0,405218,375000,MH95PB7456
Hyundai i10 Magna 1.2 iTech SE,Hyundai,i10,Magna 1.2 iTech SE,2012,60000,Petrol,Individual,Manual,Second Owner,13.0,405475,190000,MH83KE7095
Hyundai Santro Xing XL eRLX Euro III,Hyundai,Santro,Xing XL eRLX Euro III,2006,40000,Petrol,Individual,Manual,Second Owner,11.51,405611,100000,MH27PM7140
Maruti Ritz LXi,Maruti,Ritz,LXi,2016,160000,Petrol,Individual,Manual,First Owner,9.9,405631,275000,MH63NB8040
Chevrolet Beat Diesel LT,Chevrolet,Beat,Diesel LT,2012,40000,Diesel,Individual,Manual,First Owner,13.0,405842,250000,MH73GX3428
Fiat Punto 1.3 Emotion,Fiat,Punto,1.3 Emotion,2013,160254,Diesel,Dealer,Manual,Second Owner,12.0,406306,350000,MH17TQ7666
Renault KWID 1.0 RXT Optional,Renault,KWID,1.0 RXT Optional,2017,13000,Petrol,Individual,Manual,Second Owner,13.0,406427,300000,MH65RV1932
Volkswagen Vento IPL II Diesel Trendline,Volkswagen,Vento,IPL II Diesel Trendline,2011,110000,Diesel,Individual,Manual,First Owner,12.57,406500,280000,MH13WM2031
Hyundai EON Magna Plus,Hyundai,EON,Magna Plus,2018,30000,Petrol,Individual,Manual,First Owner,12.0,406685,229999,MH40MQ5798
Maruti Alto K10 2010-2014 VXI,Maruti,Alto,K10 2010-2014 VXI,2012,40000,Petrol,Individual,Manual,First Owner,10.43,406699,260000,MH45MD9002
Chevrolet Tavera LS B3 7 Seats BSII,Chevrolet,Tavera,LS B3 7 Seats BSII,2005,150000,Diesel,Individual,Manual,First Owner,11.0,406728,150000,MH83LO2203
Nissan Micra XL,Nissan,Micra,XL,2014,40000,Petrol,Individual,Manual,Second Owner,15.0,406769,210000,MH35EM8130
Datsun RediGO T Option,Datsun,RediGO,T Option,2017,50000,Petrol,Individual,Manual,First Owner,9.18,406819,210000,MH78CY6162
Hyundai Santro GS,Hyundai,Santro,GS,2006,120000,Petrol,Individual,Manual,Second Owner,13.0,406955,100000,MH31VL3420
Ford Fiesta 1.4 Duratec ZXI,Ford,Fiesta,1.4 Duratec ZXI,2008,100000,Petrol,Individual,Manual,Third Owner,11.0,406973,120000,MH79JF5575
Maruti Alto LXi,Maruti,Alto,LXi,2009,100000,Petrol,Individual,Manual,First Owner,9.0,407112,140000,MH56GI5701
Hyundai i20 Magna 1.4 CRDi (Diesel),Hyundai,i20,Magna 1.4 CRDi (Diesel),2013,78000,Diesel,Dealer,Manual,Second Owner,12.56,407158,325000,MH99BN9710
Honda Amaze S i-Dtech,Honda,Amaze,S i-Dtech,2015,66755,Diesel,Dealer,Manual,First Owner,13.0,407183,300000,MH76MT7425
Skoda Fabia 1.2 TDI Active,Skoda,Fabia,1.2 TDI Active,2011,60000,Diesel,Individual,Manual,Second Owner,15.0,407359,275000,MH20PR9346
Hyundai i20 Magna,Hyundai,i20,Magna,2010,60000,Petrol,Individual,Manual,Third Owner,13.34,407960,270000,MH94MX3755
Toyota Etios GD,Toyota,Etios,GD,2011,120000,Diesel,Individual,Manual,Third Owner,14.44,407985,350000,MH68BB4702
Maruti Eeco 5 STR With AC Plus HTR CNG,Maruti,Eeco,5 STR With AC Plus HTR CNG,2012,75000,CNG,Dealer,Manual,First Owner,14.0,408026,229999,MH22QS2012
Hyundai i10 Era,Hyundai,i10,Era,2013,50000,Petrol,Individual,Manual,First Owner,12.0,408030,265000,MH26IP9523
Maruti Alto 800 LXI,Maruti,Alto,800 LXI,2013,47000,Petrol,Dealer,Manual,First Owner,13.0,408173,225000,MH62KJ5436
Chevrolet Beat Diesel LS,Chevrolet,Beat,Diesel LS,2013,47253,Diesel,Dealer,Manual,First Owner,13.83,408648,195000,MH81ZL8045
Chevrolet Tavera LT L1 7 Seats BSIII,Chevrolet,Tavera,LT L1 7 Seats BSIII,2006,200000,Diesel,Individual,Manual,Third Owner,10.33,408802,140000,MH99TO8912
Maruti Wagon R LX Minor,Maruti,Wagon,R LX Minor,2007,100000,Petrol,Individual,Manual,First Owner,11.0,408840,100000,MH51FD3574
Maruti Alto K10 VXI AGS Optional,Maruti,Alto,K10 VXI AGS Optional,2018,25000,Petrol,Individual,Automatic,First Owner,12.0,409040,300000,MH38RM6820
Hyundai Santro Xing XL eRLX Euro III,Hyundai,Santro,Xing XL eRLX Euro III,2005,90000,Petrol,Dealer,Manual,Second Owner,11.0,409044,114999,MH32UL1437
Hyundai i20 1.2 Magna,Hyundai,i20,1.2 Magna,2012,44000,Petrol,Individual,Manual,First Owner,15.0,409155,330000,MH31FX3436
Maruti Wagon R LXI Minor,Maruti,Wagon,R LXI Minor,2009,70000,Petrol,Individual,Manual,First Owner,9.25,409384,106000,MH65FA5969
Hyundai EON Magna Plus,Hyundai,EON,Magna Plus,2016,43700,Petrol,Individual,Manual,First Owner,11.0,409437,220000,MH24IR9442
Chevrolet Beat PS,Chevrolet,Beat,PS,2016,25000,Petrol,Individual,Manual,First Owner,13.0,410266,300000,MH14QQ3373
Maruti Alto LXi,Maruti,Alto,LXi,2011,37091,Petrol,Individual,Manual,First Owner,15.0,410505,225000,MH17WZ5961
Hyundai Santro Xing XL eRLX Euro III,Hyundai,Santro,Xing XL eRLX Euro III,2005,90000,Petrol,Dealer,Manual,Second Owner,11.0,410521,114999,MH66YO3964
Volkswagen Jetta 2.0 TDI Trendline,Volkswagen,Jetta,2.0 TDI Trendline,2011,180000,Diesel,Individual,Manual,Second Owner,11.0,410576,270000,MH25YQ2047
Toyota Etios Liva GD,Toyota,Etios,Liva GD,2012,56000,Diesel,Individual,Manual,First Owner,10.0,410671,409999,MH67NJ9756
Tata Manza Aura Safire,Tata,Manza,Aura Safire,2010,50000,Petrol,Individual,Manual,First Owner,14.0,410934,200000,MH20ES5285
Renault KWID RXL BSIV,Renault,KWID,RXL BSIV,2017,18500,Petrol,Dealer,Manual,First Owner,14.0,411225,325000,MH63OR1262
Maruti Ritz LDi,Maruti,Ritz,LDi,2011,80000,Diesel,Individual,Manual,First Owner,14.0,411374,250000,MH84OV7145
Maruti Wagon R VXI Optional,Maruti,Wagon,R VXI Optional,2015,60000,Petrol,Individual,Manual,Second Owner,13.0,411532,275000,MH67MF6867
Maruti Eeco 7 Seater Standard BSIV,Maruti,Eeco,7 Seater Standard BSIV,2014,39093,Petrol,Dealer,Manual,First Owner,13.0,411860,325000,MH61BE9646
Tata Indigo LS,Tata,Indigo,LS,2008,90000,Diesel,Individual,Manual,First Owner,9.0,411931,105000,MH40XC8128
Maruti Alto LX BSIII,Maruti,Alto,LX BSIII,2008,90000,Petrol,Individual,Manual,Second Owner,14.0,411999,110000,MH20ZA6210
Maruti SX4 Vxi BSIII,Maruti,SX4,Vxi BSIII,2007,90000,Petrol,Individual,Manual,Second Owner,10.0,412120,100000,MH56CB5461
Maruti SX4 ZDI,Maruti,SX4,ZDI,2011,90000,Diesel,Individual,Manual,Third Owner,10.34,412129,220000,MH17BE5426
Maruti Zen Estilo LXI BSIII,Maruti,Zen,Estilo LXI BSIII,2008,40000,Petrol,Individual,Manual,First Owner,12.0,412297,105000,MH46UW2352
Honda Amaze E i-VTEC,Honda,Amaze,E i-VTEC,2016,50000,Petrol,Individual,Manual,Second Owner,13.0,412498,330000,MH92IK4098
Hyundai i20 1.2 Magna,Hyundai,i20,1.2 Magna,2010,96000,Petrol,Individual,Manual,Third Owner,11.0,412594,220000,MH44SD2956
Ford Fiesta 1.5 TDCi Titanium,Ford,Fiesta,1.5 TDCi Titanium,2012,92000,Diesel,Dealer,Manual,Third Owner,11.51,412731,199000,MH12SH2213
Skoda Superb 1.8 TFSI MT,Skoda,Superb,1.8 TFSI MT,2010,80000,Petrol,Individual,Manual,First Owner,11.0,412901,300000,MH78RR6370
Maruti Swift Ldi BSIII,Maruti,Swift,Ldi BSIII,2008,120000,Diesel,Individual,Manual,First Owner,12.0,412940,111000,MH46JK9244
Hyundai Getz 1.3 GLS,Hyundai,Getz,1.3 GLS,2008,110000,Petrol,Individual,Manual,Second Owner,15.0,412958,110000,MH54DL2109
Mahindra KUV 100 mFALCON G80 K8 5str,Mahindra,KUV,100 mFALCON G80 K8 5str,2016,60000,Petrol,Individual,Manual,First Owner,9.0,413031,370000,MH46PO8257
Hyundai EON Era Plus Option,Hyundai,EON,Era Plus Option,2017,18469,Petrol,Trustmark Dealer,Manual,First Owner,14.69,413047,315000,MH38EN2899
Honda Mobilio V i DTEC,Honda,Mobilio,V i DTEC,2014,150000,Diesel,Individual,Manual,First Owner,12.0,413306,300000,MH78EE3483
Maruti Zen VXI,Maruti,Zen,VXI,2000,120000,Petrol,Individual,Manual,First Owner,12.0,413842,100000,MH80JL6988
Maruti Alto 800 Std Optional,Maruti,Alto,800 Std Optional,2019,5000,Petrol,Individual,Manual,First Owner,9.0,413873,240000,MH24XE5771
Tata Indigo LS,Tata,Indigo,LS,2009,20000,Diesel,Individual,Manual,First Owner,9.0,414170,100000,MH61AF5235
Maruti Wagon R VXI BS IV,Maruti,Wagon,R VXI BS IV,2014,30000,Petrol,Individual,Manual,First Owner,12.0,414906,275000,MH28JH8443
Hyundai EON Magna Plus,Hyundai,EON,Magna Plus,2016,80000,Petrol,Individual,Manual,First Owner,9.76,414975,229999,MH62UY7158
Datsun RediGO 1.0 S,Datsun,RediGO,1.0 S,2017,15000,Petrol,Dealer,Manual,Second Owner,11.39,415593,210000,MH43HB1577
Mahindra Scorpio LX BSIV,Mahindra,Scorpio,LX BSIV,2012,150000,Diesel,Individual,Manual,First Owner,13.93,415595,349000,MH15BK5669
Hyundai i10 Magna 1.1 iTech SE,Hyundai,i10,Magna 1.1 iTech SE,2015,48000,Petrol,Dealer,Manual,First Owner,10.66,415827,300000,MH63FO1328
Maruti SX4 ZXI AT,Maruti,SX4,ZXI AT,2009,120000,Petrol,Individual,Automatic,Second Owner,10.0,416099,130000,MH93CK7735
Hyundai Accent CRDi,Hyundai,Accent,CRDi,2005,120000,Diesel,Individual,Manual,Second Owner,14.0,416234,100000,MH19WT5596
Nissan Sunny XL,Nissan,Sunny,XL,2012,80000,Petrol,Individual,Manual,Second Owner,9.72,416309,300000,MH85JV8223
Maruti Alto 800 LX,Maruti,Alto,800 LX,2017,37000,Petrol,Individual,Manual,First Owner,13.0,416324,280000,MH68MP4096
Maruti Alto LXi BSIII,Maruti,Alto,LXi BSIII,2010,73350,Petrol,Dealer,Manual,First Owner,14.34,416756,190000,MH74ZW7988
Honda Amaze EX i-Dtech,Honda,Amaze,EX i-Dtech,2013,90000,Diesel,Individual,Manual,Second Owner,12.0,416929,350000,MH55GM2564
Renault KWID RXT,Renault,KWID,RXT,2015,20969,Petrol,Dealer,Manual,First Owner,12.18,416971,270000,MH94PJ3959
Maruti Alto K10 VXI,Maruti,Alto,K10 VXI,2017,15000,Petrol,Individual,Manual,First Owner,10.0,417133,325000,MH58RM8550
Honda City 1.5 EXI,Honda,City,1.5 EXI,2005,120000,Petrol,Individual,Manual,Second Owner,14.04,417190,100000,MH81XW9807
Volkswagen Vento Diesel Highline,Volkswagen,Vento,Diesel Highline,2011,120000,Diesel,Individual,Manual,Second Owner,13.83,417253,300000,MH80BZ9249
Tata Indica DLE,Tata,Indica,DLE,2005,100000,Diesel,Individual,Manual,First Owner,15.0,417272,100000,MH47NL3133
Maruti Swift Dzire LDi,Maruti,Swift,Dzire LDi,2010,110000,Diesel,Individual,Manual,Third Owner,11.0,417771,250000,MH99FB4439
Nissan Sunny Diesel XL,Nissan,Sunny,Diesel XL,2012,110000,Diesel,Individual,Manual,First Owner,15.0,417778,300000,MH56JY7879
Hyundai Xcent 1.2 Kappa S,Hyundai,Xcent,1.2 Kappa S,2016,96000,Petrol,Individual,Manual,First Owner,14.0,418326,300000,MH59ON2381
Tata Sumo GX TC 7 Str BSIII,Tata,Sumo,GX TC 7 Str BSIII,2006,100000,Diesel,Individual,Manual,Second Owner,11.0,418424,115999,MH96AU5407
Hyundai i10 Sportz,Hyundai,i10,Sportz,2011,50000,Petrol,Individual,Manual,First Owner,15.0,418859,250000,MH94SQ4761
Ford Figo Diesel Celebration Edition,Ford,Figo,Diesel Celebration Edition,2013,50000,Diesel,Individual,Manual,First Owner,13.0,419346,300000,MH79AJ3362
Renault KWID 1.0 RXT Optional,Renault,KWID,1.0 RXT Optional,2016,20000,Petrol,Individual,Manual,First Owner,11.0,419720,350000,MH15VN2325
Hyundai EON Magna Plus,Hyundai,EON,Magna Plus,2018,31000,Petrol,Individual,Manual,First Owner,11.1,419910,300000,MH79ZH9341
Maruti SX4 Vxi BSIV,Maruti,SX4,Vxi BSIV,2012,110000,Petrol,Individual,Manual,Second Owner,10.0,419984,225000,MH75AK3935
Hyundai EON Era Plus,Hyundai,EON,Era Plus,2012,46000,Petrol,Individual,Manual,First Owner,13.0,420244,200000,MH68KF8780
Hyundai i10 Sportz 1.2 AT,Hyundai,i10,Sportz 1.2 AT,2013,38000,Petrol,Dealer,Automatic,First Owner,13.0,420344,330000,MH86RX4538
Hyundai EON Era Plus,Hyundai,EON,Era Plus,2016,24662,Petrol,Dealer,Manual,First Owner,14.64,420603,320000,MH14FG7522
Tata Zest Revotron 1.2T XE,Tata,Zest,Revotron 1.2T XE,2015,60000,Petrol,Individual,Manual,Second Owner,9.77,420769,300000,MH70FP2290
Maruti 800 AC BSIII,Maruti,800,AC BSIII,2005,30000,Petrol,Individual,Manual,First Owner,9.61,420915,100000,MH62RT4587
Maruti Alto K10 VXI,Maruti,Alto,K10 VXI,2016,40000,Petrol,Individual,Manual,First Owner,14.5,420920,350000,MH20JD7860
Maruti Swift Dzire VDI,Maruti,Swift,Dzire VDI,2013,90010,Diesel,Dealer,Manual,Second Owner,12.0,421002,360000,MH92SB4910
Maruti Swift Dzire VDI,Maruti,Swift,Dzire VDI,2014,60000,Diesel,Individual,Manual,Second Owner,10.28,421292,390000,MH82GN6824
Maruti Zen Estilo LXI BS IV,Maruti,Zen,Estilo LXI BS IV,2011,70000,Petrol,Individual,Manual,First Owner,13.2,421362,229999,MH47DA3760
Renault KWID RXE,Renault,KWID,RXE,2018,5550,Petrol,Individual,Manual,Second Owner,11.61,421417,245000,MH43XL7261
Maruti 800 AC BSIII,Maruti,800,AC BSIII,2005,30000,Petrol,Individual,Manual,First Owner,9.9,421574,100000,MH23PE8492
Renault KWID RXT,Renault,KWID,RXT,2015,50000,Petrol,Individual,Manual,First Owner,12.88,421716,250000,MH55CJ5440
Maruti SX4 VDI,Maruti,SX4,VDI,2011,90000,Diesel,Individual,Manual,Third Owner,11.33,421975,260000,MH31FY7392
Volkswagen Polo Diesel Comfortline 1.2L,Volkswagen,Polo,Diesel Comfortline 1.2L,2012,120000,Diesel,Individual,Manual,First Owner,9.82,421987,225000,MH24KO8548
Datsun GO T BSIV,Datsun,GO,T BSIV,2014,40000,Petrol,Individual,Manual,First Owner,9.0,422189,280000,MH14NP6161
Maruti Alto 800 LXI,Maruti,Alto,800 LXI,2015,30000,Petrol,Individual,Manual,Second Owner,15.0,422214,310000,MH32MO6035
Tata Bolt Quadrajet XE,Tata,Bolt,Quadrajet XE,2016,120000,Diesel,Individual,Manual,First Owner,12.0,422218,250000,MH30QC6472
Hyundai Getz 1.5 CRDi GVS,Hyundai,Getz,1.5 CRDi GVS,2008,154000,Diesel,Individual,Manual,Third Owner,14.43,422661,110000,MH20NF6843
Nissan Sunny XL,Nissan,Sunny,XL,2012,110000,Petrol,Individual,Manual,Second Owner,14.0,423379,290000,MH55ZM9187
Hyundai i10 Magna,Hyundai,i10,Magna,2014,39227,Petrol,Dealer,Manual,First Owner,13.19,423699,355000,MH15HO2082
Tata Indica Vista Aqua 1.4 TDI,Tata,Indica,Vista Aqua 1.4 TDI,2008,90000,Diesel,Individual,Manual,Third Owner,13.04,424027,110000,MH89SE8626
Maruti Swift LXi BSIV,Maruti,Swift,LXi BSIV,2009,83000,Petrol,Individual,Manual,Second Owner,13.37,424036,120000,MH29JU7707
Honda City 1.5 S MT,Honda,City,1.5 S MT,2011,110000,Petrol,Individual,Manual,First Owner,13.0,424359,310000,MH76IU6048
Maruti Wagon R LXI Minor,Maruti,Wagon,R LXI Minor,2007,49000,Petrol,Dealer,Manual,First Owner,11.0,424489,140000,MH88AM3977
Maruti Wagon R VXI,Maruti,Wagon,R VXI,2005,100000,Petrol,Individual,Manual,Third Owner,12.41,424521,100000,MH96LZ8621
